date,open,high,low,close,earn_rate,,,,,
 2019/06/20,753.98,779.35,747.89,770.35,0.0217,,,,,
 2019/06/21,776.24,795.09,768.71,786.77,0.0136,,,,,
 2019/06/24,788.17,801.42,777.36,785.03,-0.004,,,,,
 2019/06/25,782.06,788.38,761.86,773.17,-0.0114,,,,,
 2019/06/26,771.22,782.17,765.06,773.32,0.0027,,,,,
 2019/06/27,776.1,787.39,770.39,777.64,0.002,,,,,
 2019/06/28,777.21,780.36,756.6,764.15,-0.0168,,,,,
 2019/07/01,779.56,800.62,774.98,792.42,0.0165,,,,,
 2019/07/02,793.64,801.74,781.79,788.47,-0.0065,,,,,
 2019/07/03,785.91,791.54,768.58,775.34,-0.0134,,,,,
 2019/07/04,776.52,785.9,767.89,773.56,-0.0038,,,,,
 2019/07/05,775.18,781.33,767.15,775.36,0.0002,,,,,
 2019/07/08,773.8,775.56,739.85,747.91,-0.0335,,,,,
 2019/07/09,747.83,761.3,738.46,751.8,0.0053,,,,,
 2019/07/10,754.38,759.3,737.52,744.58,-0.013,,,,,
 2019/07/11,747.53,759.44,739.14,747.44,-0.0001,,,,,
 2019/07/12,746.46,755.24,736.36,748.76,0.0031,,,,,
 2019/07/15,746.81,766.61,733.08,758.19,0.0152,,,,,
 2019/07/16,755.55,764.98,748.43,757.3,0.0023,,,,,
 2019/07/17,756.96,771.89,749.51,760.51,0.0047,,,,,
 2019/07/18,754.14,758.37,738.43,743.2,-0.0145,,,,,
 2019/07/19,746.42,759.07,740.35,748.42,0.0027,,,,,
 2019/07/22,750.96,753.98,726.95,734.9,-0.0214,,,,,
 2019/07/23,735.44,750.21,730.81,745.74,0.014,,,,,
 2019/07/24,748.71,763.78,743.17,755.62,0.0092,,,,,
 2019/07/25,755.2,762.73,747.56,755.29,0.0001,,,,,
 2019/07/26,752.32,760.66,745.91,752.25,-0.0001,,,,,
 2019/07/29,753.9,768.49,746.51,759.85,0.0079,,,,,
 2019/07/30,759.5,777.19,753.97,768.76,0.0122,,,,,
 2019/07/31,767.87,773.32,757.25,764.27,-0.0047,,,,,
 2019/08/01,759.34,770.32,752.62,761.47,0.0028,,,,,
 2019/08/02,745.67,761.02,737.31,752.47,0.0091,,,,,
 2019/08/05,750.9,762.07,739.09,744.48,-0.0085,,,,,
 2019/08/06,732.41,745.46,704.37,731.72,-0.0009,,,,,
 2019/08/07,736.51,742.48,720.82,725.44,-0.015,,,,,
 2019/08/08,728.31,739.16,719.23,729.8,0.002,,,,,
 2019/08/09,734.15,740.27,714.86,721.93,-0.0166,,,,,
